TEAMNAMES,SeriesNumber,Filename,Name,Description,Gender,Attributes,UUID,hash
TEAM BEVEL,1,adewale-the-amebo,adewale the amebo,Adewale likes to be in everyone's business. ,Male,hair:bald;eyes:black;teeth:none;clothing:red;accessories:mask;expression:none;strength:powerful;weakness:curiosity,cad316c3-37f8-4b27-9f53-9d803bfcfee7,abdfc19b9e2a92e9b5f24bbd8095d3623ecabd20745bc36e3876dc2cb1f0c95b
TEAM BEVEL,2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,Male,hair:bald;eyes:white;teeth:none;clothing:yellow;accessories:mask;expression:none;strength:powerful;weakness:none,a57ecda4-a26f-4e97-a757-e1800af39aab,5834ec005870fa9acd7c8be76f291a04a1d8eec6f20aacd70b2e6f1aac86a627
TEAM BEVEL,3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,Female,hair:brown bun;eyes:none;teeth:none;clothing:yellow;accessories:glasses;expression:blank;strength:none;weakness:attitude,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,a94e264c3789fa34457b1ffa652debc53614c8d075174b866fc682a6d7615294
TEAM BEVEL,4,aminu-the-carpenter,aminu the carpenter,Aminu's hands are blessed; he makes the best furniture in the whole of Kano.,Male,hair:bald;eyes:blue;teeth:none;clothing:yellow;accessories:mask;expression:none;strength:powerful;weakness:none,4f30b751-96e7-40fe-97fd-e3d44973ff2f,55e44aeefee2ea5d89955777a10adc18f88ee4df94f4fb85648b7dd94f7a98c2
TEAM BEVEL,5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,Male,hair:bald;eyes:black;teeth:none;clothing:blue;accessories:mask;expression:none;strength:hustler;weakness:none,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,88154686fcef1f010fbe1a0a8ad934756ccf70fcdecce4244085ba8973920321
TEAM BEVEL,6,chidinma-the-model,chidinma the model,From Paris' runways; to London's streets; she's always in demand.,Female,hair:brown hair;eyes:none;teeth:none;clothing:multicolored;accessories:glasses;expression:none;strength:hardworking;weakness:none,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,f3435ae6b4b751c6e11aae50ac9a482d4ad389078e36a2efc3dd3c2dc677a5a7
TEAM BEVEL,7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,Female,hair:dreads;eyes:none;teeth:none;clothing:multicolored;accessories:glasses;expression:none;strength:none;weakness:none,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,d48bf1f5763ab137c97240269483aa81ff2ea8d0fd8406101ea2333d1207503c
TEAM BEVEL,8,damilare-the-handsome,damilare the handsome,He's a fine boy; proper eye candy. ,Male,hair:bald;eyes:white;teeth:none;clothing:yellow;accessories:mask;expression:none;strength:none;weakness:none,27eca2dc-d7df-474a-8f8f-1858152c711e,399772bb170e7c079aa249ce00788c0c006f823549f91514013825e17c35f7ec
TEAM BEVEL,9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,Male,hair:bald;eyes:none;teeth:none;clothing:multicolored;accessories:none;expression:none;strength:powerful;weakness:none,f1df8270-4d60-4bd4-8959-ba7c384db5c4,fcd056ea348155d04fd054c145f25a7ed59a6de669587fc9153ff23046d7d391
TEAM BEVEL,10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,Male,hair:bald;eyes:white;teeth:none;clothing:orange;accessories:mask;expression:none;strength:hard worker;weakness:none,9b3d75da-4887-4089-aee4-50de3954fdc9,8c74773bef12e043eb7fbc5bafb4b45172ffd5752caba4bc5ec60f6a57996f5a
TEAM BEVEL,11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,Male,hair:bald;eyes:blue;teeth:none;clothing:yellow;accessories:mask;expression:none;strength:none;weakness:none,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,72457321cbddcbe5d99d5d2a55e6400fc7f104122bb0fbdfc3bfdec1f4f94075
TEAM BEVEL,12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,Male,hair:bald;eyes:yellow;teeth:none;clothing:multicolored;accessories:mask;expression:none;strength:agility;weakness:none,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,2a73f98fb9d44970e373d57e0d1999b1bdfb866f3c9a1f06dd31801122708ace
TEAM BEVEL,13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him still.,Male,hair:bald;eyes:blue;teeth:none;clothing:multicolored;accessories:mask;expression:none;strength:none;weakness:none,dfbb4163-df24-4d54-b74c-6218a68df8bd,61de1e6d1f22e72f548916b86f5bcb194fe01b3f334d17252bde1d724f70371c
TEAM BEVEL,14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,Male,hair:bald;eyes:ash;teeth:none;clothing:multicolored;accessories:mask;expression:none;strength:creativity;weakness:none,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,047a24d0e250ed4fb9adf34873fd558a28778db03f2b391c2a588c95b002ffb1
TEAM BEVEL,15,nina-paper-chaser,nina paper chaser,Nina loves money. It's all she dreams of. ,Female,hair:brown double bun;eyes:none;teeth:none;clothing:animal print;accessories:glasses;expression:none;strength:hustler;weakness:none,59524227-dc52-407c-8cca-e9e8c5fb3018,1695f1c83e3a4e9223b7bca5fd5903335bdd2663ff45101987a421e0a0787cd9
TEAM BEVEL,16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,Male,hair:bald;eyes:black;teeth:none;clothing:yellow and purple agbada;accessories:mask;expression:none strength;weakness:none,808f7007-6552-4efa-bd13-4b7c337b102b,c70d104fb7d1faa79c83fba8f9973ed0f57dabf7aa5501e37a3f99957be5d109
TEAM BEVEL,17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,Male,hair:bald;eyes:blue;teeth:none;clothing:orange;accessories:mask;expression:none;strength:intelligence;weakness:none,ba3edda7-8940-4ca4-97ba-826398d5909f,ab52e3228cd6b5b00601a93f7c2abaf6ba92c4ee5af972edffa1212946be6151
TEAM BEVEL,18,tiwa-london,tiwa london,If she says she's in London and you see her; you're in London too.,Female,hair:braids;eyes:none;teeth:none;clothing:black top;accessories:glasses;expression:none;strength:none;weakness:untruthfulness;:,78da7aeb-8352-4e25-89ac-dc48b5984089,f67bb777a577f390d1f19d613dc4e35c2c6955d4a68233be410e34ef4c6871cf
TEAM BEVEL,19,tunde-yoruba-demon,tunde yoruba demon,Tunde derives joy in breaking hearts. It's a lifestyle.,Male,hair:bald;eyes:white;teeth:none;clothing:purple and yellow agbada;accessories:mask;expression:none;strength:none;weakness:promiscuity,53b46bd7-a537-402b-b249-0b4074a8faae,50230132c4a9c430a1529d6a653165d3c634fee2eab548887a4602c5741e4aee
TEAM BEVEL,20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,Male,hair:bald;eyes:black;teeth:none;clothing:green and purple agbada;accessories:mask;expression:none;strength:none;weakness:slow to understand things,4adb6781-1614-424e-8f77-fe59ffca2209,bf60a2302af7813f4b29de6c3dd37626db10711f5522a7775e851b5de9a255cb
TEAM CLUTCH,21,abdul-the-vibe,abdul the vibe,Abdul the life of the party and can never be caught un-fresh.,Male,hair:none;eyes:black;teeth:none;clothing:purple and yellow kaftan;accessories:cap;expression:happy;strength:strong;weakness:no limitation,770f817a-9d9a-4772-9a91-e66dd9d03470,d9e9d7d5a9535eeb150521922062db1f61ab70467bd421c01a937ae49faac4c1
TEAM CLUTCH,22,emeka-the -clown,emeka the clown,Emeka the funny man; always making silly joke.,Male,hair:none;eyes:black;teeth:none;clothing:yellow and black ankara;accessories:cap;expression:straight face;strength:funny;weakness:little physique,78810fa6-a7ef-4d83-bf57-caf49db4ee69,346634637709b6243cff2cd2f7bea66abb268c5399bc692826eb9886f6d6e3d7
TEAM CLUTCH,23,salam-the-odogwu,salam the odogwu,Salam is a big time textile marketer always sourcing for quality materials.,Male,hair:none;eyes:brown;teeth:none;clothing:wine and yellow;accessories:yayada cap;expression:happy;strength:influence;weakness:impatience,f2957ded-022c-4b07-92c6-b345d4816a67,8fad317d80be3f26f1ab990733881cdef30df28c4c2f6b0e2dfe760a795fe041
TEAM CLUTCH,24,charles-the-exporter,charles the exporter,Charles a business man an importer and exporter never to be caught idle.,Male,hair:none;eyes:grey;teeth:none;clothing:orange and blue;accessories:okpu ozo cap;expression:happy;strength:influential;weakness:incessant,09395e76-19ed-4852-8748-795ee7496a8e,cfd14e91ab6aa9cbcbe425d6483a053fe93d53b7e650af0c327be86eac94c987
TEAM CLUTCH,25,wole-the-pimp,wole the pimp,Wole knows people and his way around his city.,Male,hair:none;eyes:black;teeth:two white teeth with diastema;clothing:yellow dashiki;accessories:yori yori;expression:happy;strength:strong;weakness:promiscuous,4d94d4f7-9b69-4e43-9db1-1fe83df92857,5d412b149335f681d85c7461789424969ce1fb34a70f29b9f8e20a7b3980b0f0
TEAM CLUTCH,26,saro-the-baller,saro the baller,Saro is a baller and he is always ready to turn-up,Male,hair:orange afro;eyes:blue;teeth:two white teeth with diastema;clothing:black and yellow kente;accessories:none;expression:angry;strength:strong;weakness:insatiable,d35a7514-8996-42fb-a5f2-5a603ec679c5,88dfdec6826c037a224637861fb79b04fb86ea082f270a00ad96c841e9b4969f
TEAM CLUTCH,27,ade-omo-yoruba,ade omo yoruba,Ade is an influential man and he is revered in his town.,Male,hair:none;eyes:blue;teeth:complete white teeth and a gold tooth;clothing:black and yellow kente;accessories:wine cap;expression:happy;strength:hardworking;weakness:procrastination,92984fa0-310b-4377-8a10-15965d044383,5304cc2bee28ebff63b6d4db27048b185f7b6efbc2454ad92f8ac8a7247633a7
TEAM CLUTCH,28,shola-cool-kid,shola cool kid,Shola prefers to be alone because he hates stress.,Male,hair:none;eyes:none;teeth:none;clothing:yellow t-shirt and blue dongaris;accessories:red facecap;expression:playful;strength:fun;weakness:playful,3ac5c186-bc14-4eb6-8567-cc818465a64f,5a1ed05cf36f2b9961d71e1323a73da276eb39a62c11bf99aae4be6e61ea22c3
TEAM CLUTCH,29,charlie-the-smoker,charlie the smoker,Charlie uses smoking as a coping mechanism.,Male,hair:none;eyes:black;teeth:none;clothing:black shirt with lion prints;accessories:blue cap;expression:happy;strength:nice;weakness:gullible,71a0aa22-d111-43b7-8484-43d87310bc42,f0ea36bcc7f42848920564c77de4c5ec6d4bc4cdf78f57832efdae13d9238ea0
TEAM CLUTCH,30,femi-the-badguy,femi the badguy,Femi is one of the fliest guys in Lagos.,Male,hair:orange;eyes:black;teeth:none;clothing:white t-shirt and blue dongaris;accessories:smoking pipe;expression:unbothered;strength:fearless;weakness:intolerance,e493e3fb-a8a0-455a-854f-0f6474bbc69f,fcdb6b10e5dd52717bef0c3326666163aac67dd24791b69e7dad43f16e49be2a
TEAM CLUTCH,31,sinzu-money,sinzu money,Sinzu loves spending money on flashy things.,Male,hair:none;eyes:blue;teeth:white complete teeth and a brown tooth;clothing:purple and yellow kaftan;accessories:green-stripped fila cap;expression:strength;strength:generous;weakness:aggressive,942f8347-9932-4331-bd15-d0f3a048b54f,1c2300625ede5cf55a568892ca7911a3b9b9502464a2884647e0526fc35248a7
TEAM CLUTCH,32,obinna-the-palmwine tapper,obinna the palmwine tapper,Obinna taps palmwine for a living.,Male,hair:none;eyes:black;teeth:none;clothing:yellow black and a touch of pink ankara;accessories:cap;expression:happy;strength:contentment;weakness:naive,0f1af056-2548-4407-bed4-abc11deae05d,53d00de587a35a7b6676d1ae827a6867c1cb1f6490dc6877f7e9415460692785
TEAM CLUTCH,33,aminu-maikudi,aminu maikudi,Aminu is a wealthy man from a family with generational wealth. ,Male,hair:none;eyes:black;teeth:none;clothing:maroon and yellow agbada;accessories:cap;expression:unbothered;strength:confidence;weakness:selfishness,0129e7a5-e3d0-4675-92d0-1a1e55d11612,8d5687d9a4906f35e0a22d0ae604ee88ba4fa200fdfe4855d566c3fac0b73803
TEAM CLUTCH,34,sabinus-the-town crier,sabinus the town crier,Sabinus delivers messages to his town people.,Male,hair:none;eyes:black;teeth:two white teeth with diastema;clothing:orange ankara with touches of blue;accessories:cap;expression:happy;strength:dexterity;weakness:impatience,01d4ce96-818e-44b1-8813-68a7d34b35ba,e8419e33b69498721d15af6fa3941cfe5c2fe1b03f2b0dc38961f4b6555397f0
TEAM CLUTCH,35,adisa-ibadan,adisa ibadan,Adisa is an elegant man and he is adored by his people.,Male,hair:none;eyes:black;teeth:none;clothing:kente;accessories:abeti-aja cap;expression:mischievous;strength:independent;weakness:bossy,3a925f27-35f6-4dbf-9960-c6527fae5f3e,8ccad1032056ec9aa069881a70d741b96d53383b664411d396ce131b9574ffbf
TEAM CLUTCH,36,linda-the-navigator,linda the navigator,Linda knows how to make a way for herself and the people around her.,Female,hair:blonde;eyes:none;teeth:none;clothing:multicolored;accessories:glasses;expression:confused;strength:creative;weakness:insecure,71f335a6-5a4f-4410-9cea-179336f0e498,9699c17ea5a93940cd5174565faddb9920750a5e553c4ac92a75a903932f6b39
TEAM CLUTCH,37,kemi-the-iron lady,kemi the iron lady,Kemi the strongest woman known to the town of Igbede people.,Female,hair:ginger;eyes:none;teeth:none;clothing:ankara;accessories:glasses and a pipe;expression:cool;strength:disciplined;weakness:perfectionist,35b11a31-5b92-49f4-8fb1-30f255d22054,a2f29153dc30de6fe79cf92ccb45f458990d9e2f675ac23fa37fd62097702045
TEAM CLUTCH,38,mercy-the-sassy lady,mercy the sassy lady,Mercy is a confident woman and never hesistate to show it.,Female,hair:brown;eyes:none;teeth:none;clothing:ankara;accessories:glasses;expression:sassy;strenght:creative;weakness:sensitive,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,ba75a766adba182e2bf20f35fc84cb7f7699654eabe05a4394b4804bc7e6cd8b
TEAM CLUTCH,39,sandra-money,sandra money,Sandra likes getting and spending money.,Female,hair:brown;eyes:none;teeth:none;clothing:yellow and black;accessories:glasses;expression:confused;strength:brave;weakness:overthinker,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,7651508236d3ca47ac94c0153f92e8e73e8bb95b0717920d1deb60d3b08efb54
TEAM CLUTCH,40,bimpe-the-fashionista,bimpe the fashionista,Bimpe loves wearing trendy clothes and looking gorgeous.,Female,hair:blonde;eyes:none;teeth:gap teeth;clothing:black cold shoulder shirt;accessories:glasses;expression:shocked;strength:intelligent;weakness:procrastination,92b548b7-998b-46b6-8198-80d407209483,6eb9de004907714cf28309365acde97477aa8e5bedfdfbe4ae2c4839f8d430f5
TEAM ENGINE,41,kim-rich-aunty,kim rich aunty,She loves spoiling her nieces and nephew.,Female,hair:pink;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:food,3344a73c-f15e-4afd-a1b2-3199e27eb08f,dd549b71534f4546e54b64a39b1bb97f64b3c928d9427832e6b2f3e2baeec14a
TEAM ENGINE,42,barbra-stark,barbra stark,She loves fine dining and spends time with family.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:food,4f31fd99-4918-42a9-a112-fa60ef36d5c6,598264b3e49b0fa6cdfd20e81a7a05dcceca930809536fedacf3ea643b6b6232
TEAM ENGINE,43,jean-art-dolger,jean art dolger,Loves collecting art for charity.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:creative;weakness:food,5e1105d9-e485-462d-a5bf-1eb931976b13,c015486d72ce4617297ab00f3579a49c4ca5a9f4b91509b233535cd15a4d6fe1
TEAM ENGINE,44,flora-burger- eater,flora burger eater,She loves eating burgers.,Female,hair:blue;eyes:brown;teeth:gap;clothing:stripes;accessories:none;expression:frowning;strength:prayerful;weakness:food,054dffd1-cdff-417b-b6c2-a679dabd087b,abbc3e19bc498fec6c1c97b4ebbf76ab71fe4ee4699180a2e3d50b8aea60a8dd
TEAM ENGINE,45,jessie-lord-rings,jessie lord rings,She loves her  (precious) jewelry.,Female,hair:blue;eyes:brown;teeth:none;clothing:satin;accessories:none;expression:smiling;strength:kind;weakness:shy,caacabe1-0abc-43af-92e2-2231248bff93,5c71101e8986d3cc267cd830f5922a7c24443ccf7fbc2e28bc0a2f575d6974e6
TEAM ENGINE,46,pinky-monky-ponk,pinky monky ponk,She love to dance the honky tonk.,Female,hair:maroon;eyes:blue;teeth:none;clothing:linen;accessories:none;expression:smiling;strength:brave;weakness:chips,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,b9aeb27a2104938c926d4c939c1becf08dad21f4ad118c92ce08371e7eda7e8a
TEAM ENGINE,47,wanjiru-hippie-glitter,wanjiru hippie glitter,A hippie that loves her glitters.,Female,hair:blue;eyes:brown;teeth:none;clothing:wool;accessories:none;expression:smiling;strength:none;weakness:babies,683f0d27-3cb4-4948-b1b5-09f10bee575a,34646d7774a2072b5611d2a027d06311e8de66907af02abd9bad558ae83b6a85
TEAM ENGINE,48,njoki-binary-coder,njoki binary coder,She codes with the best language and tops the set.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:none;weakness:none,9b59bdb4-0c6c-4107-9d72-6d38d308edb4,701d146f1cfd4d98073895d1d6a904dbe71f98c60a404feb59dfd552f2c8c02b
TEAM ENGINE,49,wangu-calaba-hustler,wangu calaba hustler,She is a passionate hustler you should be careful with her.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:flying,67f7da93-3925-4def-b660-58f558c14a19,3b944b5b6c75e4570ccc4f59c1b9e3ee15dc6bcf3c3acf56a4f56c6e73a40667
TEAM ENGINE,49,wangu-calaba-hustler,wangu calaba hustler,She is a passionate hustler you should be careful with her.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:flying,67f7da93-3925-4def-b660-58f558c14a19,3b944b5b6c75e4570ccc4f59c1b9e3ee15dc6bcf3c3acf56a4f56c6e73a40667
TEAM ENGINE,50,lulu-dey-kpako,lulu dey kpako,She's is as enthusiastic as she is beautiful.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:loving;weakness:makeup,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,e0e84c21596f9d8b1afbc3bea112b82a74e6ac7d0b1ddc45da839f3c36975c61
TEAM ENGINE,50,lulu-dey-kpako,lulu dey kpako,She's is as enthusiastic as she is beautiful.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:loving;weakness:makeup,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,e0e84c21596f9d8b1afbc3bea112b82a74e6ac7d0b1ddc45da839f3c36975c61
TEAM ENGINE,51,kiki-cala-flier,kiki cala flier,She flies first class and gets the best deals.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:kittens,d24aefff-c9fc-4ea9-a7cf-1b741076c822,b053a0f30534ac7e14530ce32688fdcab491d7422efe3347cd18d4477e79c8b4
TEAM ENGINE,51,kiki-cala-flier,kiki cala flier,She flies first class and gets the best deals.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:kittens,d24aefff-c9fc-4ea9-a7cf-1b741076c822,b053a0f30534ac7e14530ce32688fdcab491d7422efe3347cd18d4477e79c8b4
TEAM ENGINE,52,purity-nft -investor,purity nft investor,She is an angel investor looking for the next big thing.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:clothes,ee86ef77-4793-411a-88d3-ea54d84f6b24,b2f18583175d12499f7f3a1971f595062be9bad95dd7c1d8b6888427996e9d99
TEAM ENGINE,52,purity-nft -investor,purity nft investor,She is an angel investor looking for the next big thing.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:clothes,ee86ef77-4793-411a-88d3-ea54d84f6b24,b2f18583175d12499f7f3a1971f595062be9bad95dd7c1d8b6888427996e9d99
TEAM ENGINE,53,june-binary-monk,june binary monk,She has a twin from Tibet and they always play together .,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:money,102c4cdb-f812-44fd-bf47-5065284c6075,805b9ef88384803694cdbbe9b9619ce2c04ac2500e5099df6ca411a55ac49a07
TEAM ENGINE,53,june-binary-monk,june binary monk,She has a twin from Tibet and they always play together .,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:money,102c4cdb-f812-44fd-bf47-5065284c6075,805b9ef88384803694cdbbe9b9619ce2c04ac2500e5099df6ca411a55ac49a07
TEAM ENGINE,54,aisha-flying-damsel,aisha flying damsel,She is always a damsel in distress and loves to fly.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:food,c4071af3-b49e-4ad6-898b-7828f90465fb,391509b63e8e4263a6b4efad101e422cdece8e549b1b62101779a35a43c3e38e
TEAM ENGINE,54,aisha-flying-damsel,aisha flying damsel,She is always a damsel in distress and loves to fly.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:food,c4071af3-b49e-4ad6-898b-7828f90465fb,391509b63e8e4263a6b4efad101e422cdece8e549b1b62101779a35a43c3e38e
TEAM ENGINE,55,bobo-crypto-lovely,bobo crypto lovely,She is a crypto guru you can trust all through.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:water,427ea0f5-30a3-4d70-a5bd-a6106409b83c,59e71f3fd389328049c880daca27147d35b8055b94a9b3043da94753f53385b6
TEAM ENGINE,55,bobo-crypto-lovely,bobo crypto lovely,She is a crypto guru you can trust all through.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:water,427ea0f5-30a3-4d70-a5bd-a6106409b83c,59e71f3fd389328049c880daca27147d35b8055b94a9b3043da94753f53385b6
TEAM ENGINE,56,nell-light -embrace,nell light embrace,She is an empathy ready with a kind word or hug.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:love,9dfe30b4-c71a-471c-8091-f5c4a238eed8,8e287e7538cd792373afe43b38a9fabced3cc5b248c6f0b5b1257a026d8f2477
TEAM ENGINE,56,nell-light -embrace,nell light embrace,She is an empathy ready with a kind word or hug.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:love,9dfe30b4-c71a-471c-8091-f5c4a238eed8,8e287e7538cd792373afe43b38a9fabced3cc5b248c6f0b5b1257a026d8f2477
TEAM ENGINE,57,rachel-mood-silent,rachel mood silent,Introvert  to the core a mysterious lady.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:walls,11450acd-f0d7-406f-bc18-bdb680404845,cb8f100472f8b53396ffb9ba843a95c1b4e0d29f46fb628612141ddc7a172a1b
TEAM ENGINE,57,rachel-mood-silent,rachel mood silent,Introvert  to the core a mysterious lady.,Female,hair:blue;eyes:brown;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:walls,11450acd-f0d7-406f-bc18-bdb680404845,cb8f100472f8b53396ffb9ba843a95c1b4e0d29f46fb628612141ddc7a172a1b
TEAM ENGINE,58,nana-reflector-agent,nana reflector agent,She loves her chrome fashion style.,Female,hair:pink;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:shy,63bda633-bfca-4b28-823f-7772936b4103,bc430997b9d146f4f3dcf031fbfcf6a53b6e18ae517c1ac411ab2e7a5720fcd3
TEAM ENGINE,58,nana-reflector-agent,nana reflector agent,She loves her chrome fashion style.,Female,hair:pink;eyes:blue;teeth:none;clothing:ankara;accessories:none;expression:smiling;strength:brave;weakness:shy,63bda633-bfca-4b28-823f-7772936b4103,bc430997b9d146f4f3dcf031fbfcf6a53b6e18ae517c1ac411ab2e7a5720fcd3
TEAM ENGINE,59,bree-busy-gossip,bree busy gossip,Never whisper your secrets to her except you want the world to know.,Female,hair:blue;eyes:white;teeth:none;clothing:glitter;accessories:none;expression:frowm;strength:goodlistener;weakness:height,4f5898d9-fc99-4053-a56c-b2ec1ef41347,fe41206141c2fa6c1cd1bb7e504dc123e43a70e5868424382d03ede14be16639
TEAM ENGINE,59,bree-busy-gossip,bree busy gossip,Never whisper your secrets to her except you want the world to know.,Female,hair:blue;eyes:white;teeth:none;clothing:glitter;accessories:none;expression:frowm;strength:goodlistener;weakness:height,4f5898d9-fc99-4053-a56c-b2ec1ef41347,fe41206141c2fa6c1cd1bb7e504dc123e43a70e5868424382d03ede14be16639
TEAM ENGINE,60,jude-shadow-fighter,jude shadow fighter,A ninja warrior; the last samurai standing.,Female,hair:white;eyes:brown;teeth:none;clothing:ankara;accessories:chain;expression:smiling;strength:brave;weakness:water,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,0889ebeec7e8d941672d0e115eeb938957bfa8b1449a1ec1053e2c97652ceab5
TEAM ENGINE,60,jude-shadow-fighter,jude shadow fighter,A ninja warrior; the last samurai standing.,Female,hair:white;eyes:brown;teeth:none;clothing:ankara;accessories:chain;expression:smiling;strength:brave;weakness:water,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,0889ebeec7e8d941672d0e115eeb938957bfa8b1449a1ec1053e2c97652ceab5
TEAM GRIT,61,toy-soldier,toy soldier,A man stronger than an army.,Male,hair:bald;eyes:closed;teeth:none;clothing:overall;accessories:nose mask;expression:happy;strength:powerful;weakness:sentimental,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,0dc9500081afa729beb60efaa70c41a74ec63694ffc5734902a96c11ef69b1c6
TEAM GRIT,61,toy-soldier,toy soldier,A man stronger than an army.,Male,hair:bald;eyes:closed;teeth:none;clothing:overall;accessories:nose mask;expression:happy;strength:powerful;weakness:sentimental,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,0dc9500081afa729beb60efaa70c41a74ec63694ffc5734902a96c11ef69b1c6
TEAM GRIT,62,pipey-rivers,pipey rivers,A man who loves the water so much and fixes it's path.,Male,hair:bald;eyes:opened;teeth:none;clothing:overall;accessories:nose mask;strength:calculative;weakness:public speaking,58f69cae-59d1-11ed-9b6a-0242ac120002,3624f5652cccca26962312de12df86d9c5740aad4d4f4c72bab87fa0f2b92c98
TEAM GRIT,62,pipey-rivers,pipey rivers,A man who loves the water so much and fixes it's path.,Male,hair:bald;eyes:opened;teeth:none;clothing:overall;accessories:nose mask;strength:calculative;weakness:public speaking,58f69cae-59d1-11ed-9b6a-0242ac120002,3624f5652cccca26962312de12df86d9c5740aad4d4f4c72bab87fa0f2b92c98
TEAM GRIT,63,phiri-of-zambia,phiri of zambia,An african woman with strength and beauty.,Female,hair:purple buns;eyes:nose;teeth:none;clothing:adire;accessories:sunglasses;expression:jiggy;strength:free spirit;weakness:blind,24b537fa-59d3-11ed-9b6a-0242ac120002,a1715386023562fe9c6836073853135276717091bce682d2da5f52cd9e45c184
TEAM GRIT,63,phiri-of-zambia,phiri of zambia,An african woman with strength and beauty.,Female,hair:purple buns;eyes:nose;teeth:none;clothing:adire;accessories:sunglasses;expression:jiggy;strength:free spirit;weakness:blind,24b537fa-59d3-11ed-9b6a-0242ac120002,a1715386023562fe9c6836073853135276717091bce682d2da5f52cd9e45c184
